Threads,Time
8,23.89936637878418
8,21.295470237731934
8,20.986751317977905
8,22.424387216567993
8,21.867321014404297
8,21.299630641937256
8,22.52055859565735
8,23.096111536026
8,21.144699573516846
8,22.13102626800537
8,21.70383358001709
8,20.638540983200073
8,21.340558528900146
8,21.204297304153442
8,21.37896752357483
8,24.43135905265808
8,22.921206951141357
8,22.826777935028076
8,21.978628158569336
8,21.62637424468994
8,21.6878502368927
8,21.39431142807007
8,22.336252450942993
8,23.132978439331055
8,24.341779708862305
8,21.243579387664795
8,21.91196346282959
8,21.949456930160522
8,21.13038182258606
8,21.952524423599243
16,22.98425555229187
16,20.019826650619507
16,18.274097681045532
16,21.26913595199585
16,19.20522975921631
16,17.940938711166382
16,18.00403642654419
16,20.622835636138916
16,19.158441305160522
16,21.99053645133972
16,23.129623413085938
16,19.22417902946472
16,21.168643712997437
16,23.26261830329895
16,23.203421354293823
16,21.265766859054565
16,23.86683702468872
16,27.893437385559082
16,21.92825984954834
16,30.080098628997803
16,24.188263416290283
16,20.77898335456848
16,24.690637826919556
16,27.952962636947632
16,25.538363218307495
16,21.743099212646484
16,26.680399417877197
16,29.26913619041443
16,26.455527544021606
16,28.388102054595947
32,32.04917645454407
32,22.369267225265503
32,27.699636936187744
32,35.42542386054993
32,32.92155647277832
32,27.916370630264282
32,29.694600582122803
32,30.410327672958374
32,31.5889413356781
32,29.78422498703003
32,26.93698525428772
32,33.842190742492676
32,29.30690884590149
32,25.553590059280396
32,25.947709798812866
32,25.542875051498413
32,26.034427404403687
32,27.120742082595825
32,24.911208152770996
32,31.98214626312256
32,31.33526921272278
32,25.000004529953003
32,26.39951181411743
32,25.26763653755188
32,33.03516340255737
32,34.1439950466156
32,31.65973687171936
32,33.55323624610901
32,30.178393602371216
32,33.46996068954468
64,26.015843391418457
64,17.17573380470276
64,22.5148503780365
64,23.159051656723022
64,22.81527876853943
64,24.452436923980713
64,24.02981209754944
64,23.426509618759155
64,26.227741956710815
64,25.26309370994568
64,21.797521352767944
64,24.911607027053833
64,20.799313068389893
64,21.336148023605347
64,18.724948167800903
64,21.007364511489868
64,21.96810245513916
64,23.065383911132812
64,17.541330575942993
64,23.028362035751343
64,24.76445770263672
64,25.58889126777649
64,19.74428081512451
64,24.701699256896973
64,23.391560316085815
64,25.026658296585083
64,27.23535466194153
64,19.9153311252594
64,26.112837314605713
64,24.368298053741455
