Threads,Time
8,118.13786602020264
8,121.9201192855835
8,119.20737028121948
8,125.04845952987671
8,119.56777906417847
8,125.99843192100525
8,122.92344164848328
8,119.4226655960083
8,118.99840259552002
8,126.16486096382141
8,125.2379539012909
8,123.94973945617676
8,123.99158120155334
8,119.76386642456055
8,124.07189345359802
8,120.41844773292542
8,118.20858550071716
8,126.33731198310852
8,119.71443176269531
8,125.07932090759277
8,126.00569748878479
8,122.84402871131897
8,124.40597200393677
8,124.15631127357483
8,127.7326934337616
8,125.6606605052948
8,122.3059675693512
8,124.58907747268677
8,118.1651062965393
8,127.02289986610413
16,67.17885637283325
16,68.63429617881775
16,67.72258043289185
16,66.8086850643158
16,66.9484634399414
16,67.7326328754425
16,66.81457233428955
16,66.34924650192261
16,67.17488384246826
16,66.93644404411316
16,68.14731812477112
16,69.59774160385132
16,67.93618535995483
16,66.60035943984985
16,66.46014356613159
16,66.83321142196655
16,69.72737050056458
16,66.5646505355835
16,69.4190502166748
16,66.77782917022705
16,65.80902099609375
16,66.26001644134521
16,67.195645570755
16,66.5249993801117
16,66.71274161338806
16,65.08135557174683
16,66.39964628219604
16,67.08466172218323
16,65.77823567390442
16,65.62005496025085
32,46.64613580703735
32,47.809181690216064
32,46.486873388290405
32,46.97075414657593
32,47.41477131843567
32,46.8407027721405
32,47.63804078102112
32,47.406458616256714
32,46.464219093322754
32,47.18419146537781
32,47.22920107841492
32,47.44162106513977
32,46.72199106216431
32,48.36147212982178
32,49.09169626235962
32,47.78145098686218
32,47.68520498275757
32,46.68845224380493
32,48.67532563209534
32,46.44205164909363
32,47.45606255531311
32,46.23918056488037
32,46.20166635513306
32,47.565977334976196
32,48.15840983390808
32,47.589125633239746
32,46.67945051193237
32,47.125900745391846
32,47.53210973739624
32,48.085618019104004
64,53.36284613609314
64,50.09986114501953
64,54.24281024932861
64,55.54338049888611
64,50.28705644607544
64,50.94762349128723
64,49.924010038375854
64,53.700671672821045
64,50.33445930480957
64,54.612945318222046
64,53.822105884552
64,54.377562284469604
64,50.54510140419006
64,53.82764768600464
64,54.154772996902466
64,50.070451736450195
64,55.366594076156616
64,53.09455680847168
64,50.991538763046265
64,54.6281418800354
64,54.514869689941406
64,51.166086196899414
64,50.681822538375854
64,53.92328357696533
64,50.5446662902832
64,50.72329545021057
64,53.28463339805603
64,55.17131543159485
64,51.08207941055298
64,54.002657413482666
